iter	Passed	Remaining
0	5	533
1	9	447
2	12	416
3	16	399
4	20	380
5	23	364
6	26	353
7	29	342
8	33	335
9	35	323
10	38	310
11	41	301
12	44	299
13	48	295
14	51	289
15	53	283
16	56	277
17	58	268
18	61	263
19	65	261
20	68	256
21	71	252
22	74	248
23	77	244
24	80	240
25	82	236
26	85	232
27	88	227
28	91	223
29	94	219
30	97	217
31	100	214
32	103	210
33	106	206
34	109	203
35	112	199
36	115	196
37	118	193
38	121	189
39	124	186
40	127	183
41	130	180
42	133	176
43	136	173
44	139	170
45	141	166
46	144	163
47	147	159
48	149	155
49	152	152
50	154	148
51	156	144
52	159	141
53	162	138
54	165	135
55	168	132
56	171	129
57	174	126
58	177	123
59	179	119
60	183	117
61	186	114
62	189	111
63	192	108
64	195	105
65	198	102
66	201	99
67	203	95
68	206	92
69	210	90
70	213	87
71	216	84
72	219	81
73	222	78
74	225	75
75	228	72
76	231	69
77	234	66
78	237	63
79	240	60
80	243	57
81	246	54
82	248	50
83	251	47
84	254	44
85	256	41
86	260	38
87	263	35
88	265	32
89	268	29
90	271	26
91	274	23
92	277	20
93	280	17
94	283	14
95	286	11
96	289	8
97	293	5
98	295	2
99	298	0
